name;short_name;county_id
"COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD";"COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD";ARAD
"COLEGIUL NAȚIONAL ""EMANUIL GOJDU"" ORADEA";CN E.GOJDU ORADEA;BIHOR
Colegiul Național ”Emil Racoviță”;Col.Naț. ”Emil Racoviță”;MUNICIPIUL BUCUREŞTI
"COLEGIUL NAȚIONAL ""EMIL RACOVIȚĂ"" CLUJ-NAPOCA";"COLEGIUL NAȚIONAL ""EMIL RACOVIȚĂ"" CLUJ-NAPOCA";CLUJ
"COLEGIUL NAȚIONAL ""EMIL RACOVIŢĂ"", IAŞI";"COL NAT ""E.RACOVITA"" IASI";IAŞI
"COLEGIUL NAȚIONAL ""EUDOXIU HURMUZACHI"" RĂDĂUȚI";"CN ""EUDOXIU HURMUZACHI"" RĂDĂUȚI";SUCEAVA
"COLEGIUL NAŢIONAL ""FERDINAND I"" BACĂU";"COLEGIUL NAŢIONAL ""FERDINAND I"" BACĂU";BACĂU
"COLEGIUL NAȚIONAL ""GARABET IBRĂILEANU"", IAȘI";"COL NAT ""G. IBRAILEANU"" IASI";IAŞI
"COLEGIUL NAȚIONAL ""GEORGE BARIȚIU"" CLUJ-NAPOCA";"COLEGIUL NAȚIONAL ""GEORGE BARIȚIU"" CLUJ-NAPOCA";CLUJ
"COLEGIUL NAȚIONAL ""GEORGE COȘBUC"" CLUJ-NAPOCA";"COLEGIUL NAȚIONAL ""GEORGE COȘBUC"" CLUJ-NAPOCA";CLUJ
"COLEGIUL NAȚIONAL ""GEORGE COȘBUC"" NĂSĂUD";"COL NAȚ ""G.COȘBUC"" NĂSĂUD";BISTRIŢA-NĂSĂUD
"COLEGIUL NAȚIONAL ""GH. ROȘCA CODREANU"", MUN. BÂRLAD";COL_NAŢ GH. R. CODREANU;VASLUI
"COLEGIUL NAȚIONAL ""GHEORGHE ASACHI"", MUNICIPIUL PIATRA-NEAMȚ";CNGA, PIATRA NEAMȚ;NEAMŢ
"Colegiul Naţional ""Gheorghe Lazăr""";"Col. Naţ. ""Gheorghe Lazăr""";MUNICIPIUL BUCUREŞTI
"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU";"COL NAȚ ""GH.LAZĂR"" SIBIU";SIBIU
"COLEGIUL NAŢIONAL ""GHEORGHE MUNTEANU MURGOCI""";"COLEGIUL NAŢIONAL ""GHEORGHE MUNTEANU MURGOCI""";BRĂILA
"Colegiul Naţional ""Gheorghe Şincai""";"Col. Naţ. ""Gheorghe Şincai""";MUNICIPIUL BUCUREŞTI
